id ;label;genre;avg_unit_g;;peeled_yield;;tbsp_g;;juice_ml_per_unit;;lgth_g;;tsp_g;;density_g_ml;;notes;;psta_wter;;psta_slt;;psta_wtr_slt;;egg;;egg_s;;egg_m;;egg_l;;whte_pctge;;ylw_pctge;;wght_pdt_s;;wght_pdt_m;;wght_pdt_l;;clr_lgth;;tea;;grn_tp;;grn_tm;;bck_tp;;bck_tm;;olg_tp;;olg_tm;;rbs_tp;;rbs_tm;;is_pdt;;pdt_variety;;pdt_texture;;gratin;;rissolee;;frites;;puree;;vapeur;;four;;potage;;sautees;;roties;;pdt_spcf_wght;
pomme_de_terre;Pomme de terre;f;;;0,84;V300825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;100;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citron;Citron;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gingembre_racine;Gingembre (racine);;;;0,9;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gingembre_moulu;Gingembre moulu;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eau;Eau;f;;;;;15;V220825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
huile ;Huile;f;;;;;13,5;V220825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pates;Pâtes;;;;;;;;;;;;;;;;;;0,01;V240825;0,1;V240825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oeuf ;Œuf;;;;;;;;;;;;;;;;;;;;;;;;x;;45;;55;;65;;0,6;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
celeri;Céleri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tomate;Tomate;f;80;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
avocat;Avocat;;242;V270825;0,65;V270825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carotte;Carotte;f;85;;0,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poivron;Poivron;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the;Thé;;;;;;4,2;V290825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;75;;Entre 2m30s et 3 minutes;;85;;Entre 4 et 5 minutes;;90;;Entre 5 et 7 minutes;;95;; 5 minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;
agria;Agria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;agria;;Farineuse;;2;;;;3;;2;;;;3;;2;;;;2;;;
bintje;Bintje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;bintje;;Farineuse;;2;;;;3;;3;;1;;3;;3;;1;;2;;;
blanche;Blanche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;blanche;;Farineuse;;1;;;;3;;2;;1;;;;2;;1;;3;;;
bleue_d_auvergne;Bleue d'Auvergne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;bleue_d_auvergne;;Farineuse;;1;;;;2;;3;;;;3;;3;;;;2;;;
caesar;Caesar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;caesar;;Farineuse;;1;;;;2;;3;;;;3;;3;;;;2;;;
desiree;Désirée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;desiree;;Farineuse;;1;;;;2;;3;;1;;;;3;;2;;2;;;
marabel;Marabel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;marabel;;Farineuse;;1;;;;2;;2;;;;;;2;;;;2;;;
manon;Manon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;manon;;Farineuse;;1;;;;2;;2;;1;;3;;3;;2;;2;;;
vitelotte;Vitelotte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;vitelotte;;Farineuse;;1;;;;;;2;;;;3;;2;;;;2;;;
artemis;Artemis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;artemis;;Ferme;;2;;;;2;V300825;2;;3;;2;;2;;2;;2;;178;V300825
amandine;Amandine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;amandine;;Ferme;;2;;2;;;;;;3;;;;;;2;;2;;;
